Index	item_id	regexp	expt	list_id	stim_idx	s1_code	noun_code	noun_pos	article	adjective	noun	eeg_stim	item_id_pfx	expt_id	stim	orth_article_initial_cloze	orth_NA_noun_initial_cloze	orth_NA_noun_anywhere_cloze	lemma_NA_noun_initial_cloze	lemma_NA_noun_anywhere_cloze	orth_ART_noun_initial_cloze	orth_ART_noun_anywhere_cloze	lemma_ART_noun_initial_cloze	lemma_ART_noun_anywhere_cloze	lemma_context_anywhere_info	lemma_context_initial_info	lemma_modal_anywhere	lemma_modal_anywhere_cloze	lemma_modal_initial	lemma_modal_initial_character_classes	lemma_modal_initial_cloze	lemma_n_NAs	lemma_n_responses	lemma_n_strings	orth_context_anywhere_info	orth_context_initial_info	orth_modal_anywhere	orth_modal_anywhere_cloze	orth_modal_initial	orth_modal_initial_character_classes	orth_modal_initial_cloze	orth_n_NAs	orth_n_responses	orth_n_strings	topic_n_NA	topic_n_consonants	topic_n_vowels
i064_2_a__NA_toast	i064_2_a__NA_toast	(#\d{1,3}) 2 10641	eeg_3	eeg_3_a	64	30640	10641	11	a	NA	toast	"The workers gathered around their boss to sing ""Happy Birthday"". They told her to blow out the candles and make a toast for the year."	i064_2_a_	norm_4	"The workers gathered around their boss to sing ""Happy Birthday"". They told her to blow out the candles and make a"	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	[wish]	1.000	[wish]	[consonant]	1.000	0.000	32.000	32.000	1.000	1.000	[wish]	1.000	[wish]	[consonant]	1.000	0.000	32.000	32.000	1.000	31.000	0.000
i064_2_an_NA_admission	i064_2_an_NA_admission	(#\d{1,3}) 2 10642	eeg_3	eeg_3_b	64	30640	10642	11	an	NA	admission	"The workers gathered around their boss to sing ""Happy Birthday"". They told her to blow out the candles and make an admission for the year."	i064_2_an	norm_4	"The workers gathered around their boss to sing ""Happy Birthday"". They told her to blow out the candles and make an"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.244	0.023	[wish]	0.448	[important]	[vowel]	0.100	1.000	30.000	58.000	0.244	0.023	[wish]	0.448	[important]	[vowel]	0.100	1.000	30.000	58.000	1.000	31.000	0.000
i065_2_an_NA_elephant	i065_2_an_NA_elephant	(#\d{1,3}) 2 10652	eeg_3	eeg_3_a	65	30650	10652	9	an	NA	elephant	Jack took a trip to India. The highlight was when he got to ride an elephant in the procession.	i065_2_an	norm_4	Jack took a trip to India. The highlight was when he got to ride an	0.581	0.000	0.548	0.000	0.548	0.806	0.806	0.806	0.806	0.460	0.557	[elephant]	0.714	[elephant]	[vowel]	0.806	1.000	31.000	35.000	0.460	0.557	[elephant]	0.714	[elephant]	[vowel]	0.806	1.000	31.000	35.000	1.000	13.000	18.000
i065_2_a__NA_camel	i065_2_a__NA_camel	(#\d{1,3}) 2 10651	eeg_3	eeg_3_b	65	30650	10651	9	a	NA	camel	Jack took a trip to India. The highlight was when he got to ride a camel in the procession.	i065_2_a_	norm_4	Jack took a trip to India. The highlight was when he got to ride a	0.355	0.000	0.355	0.000	0.355	0.323	0.323	0.323	0.323	0.173	0.148	[elephant]	0.271	[camel]	[consonant]	0.323	0.000	31.000	48.000	0.173	0.148	[elephant]	0.250	[camel]	[consonant]	0.323	0.000	31.000	48.000	1.000	13.000	18.000
i066_2_a__NA_bike	i066_2_a__NA_bike	(#\d{1,3}) 2 10661	eeg_3	eeg_3_a	66	30660	10661	9	a	NA	bike	Some things stick with you forever. For instance, you never forget how to ride a bike once you've learned.	i066_2_a_	norm_4	Some things stick with you forever. For instance, you never forget how to ride a	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	[bicycle]	1.000	[bicycle]	[consonant]	1.000	1.000	31.000	31.000	1.000	1.000	[bicycle]	1.000	[bicycle]	[consonant]	1.000	1.000	31.000	31.000	1.000	31.000	0.000
i066_2_an_NA_escalator	i066_2_an_NA_escalator	(#\d{1,3}) 2 10662	eeg_3	eeg_3_b	66	30660	10662	9	an	NA	escalator	Some things stick with you forever. For instance, you never forget how to ride an escalator once you've learned.	i066_2_an	norm_4	Some things stick with you forever. For instance, you never forget how to ride an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.125	0.065	[bicycle]	0.310	[old]	[vowel]	0.194	0.000	31.000	58.000	0.125	0.065	[bicycle]	0.310	[old]	[vowel]	0.194	0.000	31.000	58.000	1.000	31.000	0.000
i067_2_an_NA_oriole	i067_2_an_NA_oriole	(#\d{1,3}) 2 10672	eeg_3	eeg_3_a	67	30670	10672	12	an	NA	oriole	At first we thought the large bird soaring up above was a hawk. But when we saw the bald head we knew it was an oriole right away.	i067_2_an	norm_4	At first we thought the large bird soaring up above was a hawk. But when we saw the bald head we knew it was an	0.774	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.399	0.582	[eagle]	0.744	[eagle]	[vowel]	0.833	2.000	30.000	39.000	0.399	0.582	[eagle]	0.744	[eagle]	[vowel]	0.833	2.000	30.000	39.000	1.000	2.000	29.000
i067_2_a__NA_vulture	i067_2_a__NA_vulture	(#\d{1,3}) 2 10671	eeg_3	eeg_3_b	67	30670	10671	12	a	NA	vulture	At first we thought the large bird soaring up above was a hawk. But when we saw the bald head we knew it was a vulture right away.	i067_2_a_	norm_4	At first we thought the large bird soaring up above was a hawk. But when we saw the bald head we knew it was a	0.226	0.000	0.065	0.000	0.065	0.032	0.032	0.032	0.032	0.343	0.324	[eagle]	0.492	[bald]	[consonant]	0.581	0.000	31.000	61.000	0.343	0.324	[eagle]	0.492	[bald]	[consonant]	0.581	0.000	31.000	61.000	1.000	2.000	29.000
i068_2_a__NA_pig	i068_2_a__NA_pig	(#\d{1,3}) 2 10681	eeg_3	eeg_3_a	68	30680	10681	6	a	NA	pig	The little girl taped a curly tail on her pink pajamas and had fashioned a pair of velvety ears. She was pretending to be a pig at preschool.	i068_2_a_	norm_4	The little girl taped a curly tail on her pink pajamas and had fashioned a pair of velvety ears. She was pretending to be a	0.935	0.000	0.645	0.000	0.645	0.600	0.667	0.600	0.667	0.224	0.336	[pig]	0.488	[pig]	[consonant]	0.600	2.000	30.000	41.000	0.224	0.336	[pig]	0.488	[pig]	[consonant]	0.600	2.000	30.000	41.000	1.000	31.000	0.000
i068_2_an_NA_armadillo	i068_2_an_NA_armadillo	(#\d{1,3}) 2 10682	eeg_3	eeg_3_b	68	30680	10682	6	an	NA	armadillo	The little girl taped a curly tail on her pink pajamas and had fashioned a pair of velvety ears. She was pretending to be an armadillo at preschool.	i068_2_an	norm_4	The little girl taped a curly tail on her pink pajamas and had fashioned a pair of velvety ears. She was pretending to be an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.166	0.115	[pig]	0.311	[adorable]	[vowel]	0.300	1.000	30.000	61.000	0.166	0.115	[pig]	0.311	[adorable]	[vowel]	0.300	1.000	30.000	61.000	1.000	31.000	0.000
i069_2_an_NA_umbrella	i069_2_an_NA_umbrella	(#\d{1,3}) 2 10692	eeg_3	eeg_3_a	69	30690	10692	7	an	NA	umbrella	It frequently rains in London. For that reason Nigel always carries an umbrella with him.	i069_2_an	norm_4	It frequently rains in London. For that reason Nigel always carries an	1.000	0.000	1.000	0.000	1.000	0.935	0.968	0.935	0.968	0.607	0.742	[umbrella]	0.857	[umbrella]	[vowel]	0.935	1.000	31.000	35.000	0.607	0.742	[umbrella]	0.857	[umbrella]	[vowel]	0.935	1.000	31.000	35.000	1.000	0.000	31.000
i069_2_a__NA_poncho	i069_2_a__NA_poncho	(#\d{1,3}) 2 10691	eeg_3	eeg_3_b	69	30690	10691	7	a	NA	poncho	It frequently rains in London. For that reason Nigel always carries a poncho with him.	i069_2_a_	norm_4	It frequently rains in London. For that reason Nigel always carries a	0.000	0.000	0.000	0.000	0.000	0.129	0.129	0.129	0.129	0.192	0.093	[umbrella]	0.340	[raincoat]	[consonant]	0.226	0.000	31.000	50.000	0.181	0.093	[umbrella]	0.320	[raincoat]	[consonant]	0.226	0.000	31.000	50.000	1.000	0.000	31.000
i070_2_a__NA_soda	i070_2_a__NA_soda	(#\d{1,3}) 2 10701	eeg_3	eeg_3_a	70	30700	10701	8	a	NA	soda	Carl walked past the kiosk on his way to work and skimmed the headlines. He plunked down 50 cents and bought a soda to take with him.	i070_2_a_	norm_4	Carl walked past the kiosk on his way to work and skimmed the headlines. He plunked down 50 cents and bought a	0.935	0.000	0.000	0.000	0.000	0.062	0.062	0.062	0.062	0.601	0.601	[newspaper]	0.844	[newspaper]	[consonant]	0.844	0.000	32.000	32.000	0.601	0.601	[newspaper]	0.844	[newspaper]	[consonant]	0.844	0.000	32.000	32.000	1.000	31.000	0.000
i070_2_an_NA_edition	i070_2_an_NA_edition	(#\d{1,3}) 2 10702	eeg_3	eeg_3_b	70	30700	10702	8	an	NA	edition	Carl walked past the kiosk on his way to work and skimmed the headlines. He plunked down 50 cents and bought an edition to take with him.	i070_2_an	norm_4	Carl walked past the kiosk on his way to work and skimmed the headlines. He plunked down 50 cents and bought an	0.000	0.000	0.000	0.000	0.000	0.067	0.100	0.067	0.100	0.062	0.034	[newspaper]	0.181	[interesting]	[vowel]	0.133	1.000	30.000	72.000	0.062	0.034	[newspaper]	0.181	[interesting]	[vowel]	0.133	1.000	30.000	72.000	1.000	31.000	0.000
i071_2_an_NA_engagement	i071_2_an_NA_engagement	(#\d{1,3}) 2 10712	eeg_3	eeg_3_a	71	30710	10712	7	an	NA	engagement	At the table behind us we heard glasses clinking and a toast to many years of marriage. We guessed that someone was celebrating an engagement or a divorce.	i071_2_an	norm_4	At the table behind us we heard glasses clinking and a toast to many years of marriage. We guessed that someone was celebrating an	0.581	0.000	0.032	0.000	0.032	0.125	0.125	0.125	0.125	0.462	0.534	[anniversary]	0.692	[anniversary]	[vowel]	0.844	0.000	32.000	39.000	0.462	0.534	[anniversary]	0.692	[anniversary]	[vowel]	0.844	0.000	32.000	39.000	1.000	2.000	29.000
i071_2_a__NA_birthday	i071_2_a__NA_birthday	(#\d{1,3}) 2 10711	eeg_3	eeg_3_b	71	30710	10711	7	a	NA	birthday	At the table behind us we heard glasses clinking and a toast to many years of marriage. We guessed that someone was celebrating a birthday or a divorce.	i071_2_a_	norm_4	At the table behind us we heard glasses clinking and a toast to many years of marriage. We guessed that someone was celebrating a	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.232	0.198	[anniversary]	0.351	[wedding]	[consonant]	0.419	0.000	31.000	57.000	0.232	0.198	[anniversary]	0.351	[wedding]	[consonant]	0.419	0.000	31.000	57.000	1.000	2.000	29.000
i072_2_an_NA_accessory	i072_2_an_NA_accessory	(#\d{1,3}) 2 10722	eeg_3	eeg_3_a	72	30720	10722	11	an	NA	accessory	The famous actor looked very stylish with the fedora atop his head. My boyfriend just looks silly when he tries to wear an accessory or hood.	i072_2_an	norm_4	The famous actor looked very stylish with the fedora atop his head. My boyfriend just looks silly when tries to wear an	0.000	0.000	0.000	0.000	0.000	0.065	0.065	0.065	0.065	0.078	0.012	[hat]	0.232	[accessory, article, extreme, outfit]	[vowel, vowel, vowel, vowel]	0.065	1.000	31.000	82.000	0.078	0.012	[hat]	0.232	[accessory, article, extreme, outfit]	[vowel, vowel, vowel, vowel]	0.065	1.000	31.000	82.000	1.000	31.000	0.000
i072_2_a__NA_hat	i072_2_a__NA_hat	(#\d{1,3}) 2 10721	eeg_3	eeg_3_b	72	30720	10721	11	a	NA	hat	The famous actor looked very stylish with the fedora atop his head. My boyfriend just looks silly when he tries to wear a hat or hood.	i072_2_a_	norm_4	The famous actor looked very stylish with the fedora atop his head. My boyfriend just looks silly when tries to wear a	0.452	0.000	0.387	0.226	0.645	0.667	0.833	0.667	0.833	0.294	0.392	[hat]	0.625	[hat]	[consonant]	0.667	1.000	30.000	40.000	0.294	0.392	[hat]	0.625	[hat]	[consonant]	0.667	1.000	30.000	40.000	1.000	31.000	0.000
i073_2_an_NA_architect	i073_2_an_NA_architect	(#\d{1,3}) 2 10732	eeg_3	eeg_3_a	73	30730	10732	8	an	NA	architect	Frank wanted to design a very modern house. For the blueprints he sought advice from an architect to select the fixtures.	i073_2_an	norm_4	Frank wanted to design a very modern house. For the blueprints he sought advice from an	0.871	0.000	0.839	0.000	0.839	0.875	0.906	0.875	0.906	0.548	0.634	[architect]	0.829	[architect]	[vowel]	0.875	0.000	32.000	35.000	0.548	0.634	[architect]	0.829	[architect]	[vowel]	0.875	0.000	32.000	35.000	1.000	5.000	26.000
i073_2_a__NA_contractor	i073_2_a__NA_contractor	(#\d{1,3}) 2 10731	eeg_3	eeg_3_b	73	30730	10731	8	a	NA	contractor	Frank wanted to design a very modern house. For the blueprints he sought advice from a contractor to select the fixtures.	i073_2_a_	norm_4	Frank wanted to design a very modern house. For the blueprints he sought advice from a	0.097	0.000	0.097	0.000	0.097	0.100	0.100	0.100	0.100	0.138	0.058	[architect]	0.305	[professional]	[consonant]	0.167	1.000	30.000	59.000	0.138	0.058	[architect]	0.305	[professional]	[consonant]	0.167	1.000	30.000	59.000	1.000	5.000	26.000
i074_2_a__NA_plumber	i074_2_a__NA_plumber	(#\d{1,3}) 2 10741	eeg_3	eeg_3_a	74	30740	10741	11	a	NA	plumber	A pipe broke in Felicia's bathroom. She looked through the phonebook to find a listing for a plumber who worked weekends.	i074_2_a_	norm_4	A pipe broke in Felicia's bathroom. She looked through the phonebook to find a listing for a	0.903	0.000	0.935	0.032	0.968	0.968	0.968	0.968	0.968	0.794	0.794	[plumber]	0.968	[plumber]	[consonant]	0.968	1.000	31.000	31.000	0.794	0.794	[plumber]	0.968	[plumber]	[consonant]	0.968	1.000	31.000	31.000	1.000	31.000	0.000
i074_2_an_NA_appraiser	i074_2_an_NA_appraiser	(#\d{1,3}) 2 10742	eeg_3	eeg_3_b	74	30740	10742	11	an	NA	appraiser	A pipe broke in Felicia's bathroom. She looked through the phonebook to find a listing for an appraiser who worked weekends.	i074_2_an	norm_4	A pipe broke in Felicia's bathroom. She looked through the phonebook to find a listing for an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.189	0.082	[plumber]	0.388	[experienced]	[vowel]	0.233	1.000	30.000	67.000	0.189	0.082	[plumber]	0.388	[experienced]	[vowel]	0.233	1.000	30.000	67.000	1.000	31.000	0.000
i075_2_an_NA_electrician	i075_2_an_NA_electrician	(#\d{1,3}) 2 10752	eeg_3	eeg_3_a	75	30750	10752	8	an	NA	electrician	There were terrible problems with the wiring in the old house that Sara had just bought. She knew she would have to hire an electrician to fix things.	i075_2_an	norm_4	There were terrible problems with the wiring in the old house that Sara had just bought. She knew she would have to hire an	0.968	0.000	0.968	0.000	0.968	0.871	0.871	0.871	0.871	0.517	0.650	[electrician]	0.750	[electrician]	[vowel]	0.871	1.000	31.000	36.000	0.517	0.650	[electrician]	0.750	[electrician]	[vowel]	0.871	1.000	31.000	36.000	1.000	1.000	30.000
i075_2_a__NA_handyman	i075_2_a__NA_handyman	(#\d{1,3}) 2 10751	eeg_3	eeg_3_b	75	30750	10751	8	a	NA	handyman	There were terrible problems with the wiring in the old house that Sara had just bought. She knew she would have to hire a handyman to fix things.	i075_2_a_	norm_4	There were terrible problems with the wiring in the old house that Sara had just bought. She knew she would have to hire a	0.032	0.000	0.000	0.000	0.000	0.097	0.097	0.097	0.097	0.141	0.077	[electrician]	0.274	[good, professional]	[consonant, consonant]	0.161	0.000	31.000	62.000	0.141	0.077	[electrician]	0.274	[good, professional]	[consonant, consonant]	0.161	0.000	31.000	62.000	1.000	1.000	30.000
i076_2_a__NA_chef	i076_2_a__NA_chef	(#\d{1,3}) 2 10761	eeg_3	eeg_3_a	76	30760	10761	11	a	NA	chef	Claude was very creative in the kitchen and was always coming up with new recipes. He had just started culinary school in hopes of becoming a chef in a few years.	i076_2_a_	norm_4	Claude was very creative in the kitchen and was always coming up with new recipes. He had just started culinary school in hopes of becoming a	1.000	0.000	0.935	0.000	0.935	0.871	0.903	0.871	0.903	0.577	0.626	[chef]	0.848	[chef]	[consonant]	0.871	1.000	31.000	33.000	0.577	0.626	[chef]	0.848	[chef]	[consonant]	0.871	1.000	31.000	33.000	1.000	31.000	0.000
i076_2_an_NA_expert	i076_2_an_NA_expert	(#\d{1,3}) 2 10762	eeg_3	eeg_3_b	76	30760	10762	11	an	NA	expert	Claude was very creative in the kitchen and was always coming up with new recipes. He had just started culinary school in hopes of becoming an expert in a few years.	i076_2_an	norm_4	Claude was very creative in the kitchen and was always coming up with new recipes. He had just started culinary school in hopes of becoming an	0.000	0.000	0.000	0.000	0.000	0.065	0.065	0.065	0.065	0.224	0.051	[chef]	0.433	[excellent]	[vowel]	0.161	0.000	31.000	67.000	0.224	0.051	[chef]	0.433	[excellent]	[vowel]	0.161	0.000	31.000	67.000	1.000	31.000	0.000
i077_2_an_NA_infection	i077_2_an_NA_infection	(#\d{1,3}) 2 10772	eeg_3	eeg_3_a	77	30770	10772	5	an	NA	infection	Bart did not clean his wound properly. He ended up getting an infection soon after.	i077_2_an	norm_4	Bart did not clean his wound properly. He ended up getting an	0.903	0.000	0.903	0.000	0.903	0.968	0.968	0.968	0.968	0.748	0.794	[infection]	0.938	[infection]	[vowel]	0.968	1.000	31.000	32.000	0.748	0.794	[infection]	0.938	[infection]	[vowel]	0.968	1.000	31.000	32.000	1.000	1.000	30.000
i077_2_a__NA_scar	i077_2_a__NA_scar	(#\d{1,3}) 2 10771	eeg_3	eeg_3_b	77	30770	10771	5	a	NA	scar	Bart did not clean his wound properly. He ended up getting a scar soon after.	i077_2_a_	norm_4	Bart did not clean his wound properly. He ended up getting a	0.000	0.000	0.000	0.000	0.000	0.065	0.065	0.065	0.065	0.198	0.069	[infection]	0.422	[nasty]	[consonant]	0.194	0.000	31.000	64.000	0.198	0.069	[infection]	0.422	[nasty]	[consonant]	0.194	0.000	31.000	64.000	1.000	1.000	30.000
i078_2_a__NA_tattoo	i078_2_a__NA_tattoo	(#\d{1,3}) 2 10781	eeg_3	eeg_3_a	78	30780	10781	9	a	NA	tattoo	The Hell's Angel rolled up the sleeve of his leather jacket. He showed the girls where he had gotten a tattoo the previous night.	i078_2_a_	norm_4	The Hell's Angel rolled up the sleeve of his leather jacket. He showed the girls where he had gotten a	0.516	0.000	0.774	0.129	0.903	0.875	0.875	0.875	0.875	0.627	0.658	[tattoo]	0.848	[tattoo]	[consonant]	0.875	0.000	32.000	33.000	0.627	0.658	[tattoo]	0.848	[tattoo]	[consonant]	0.875	0.000	32.000	33.000	1.000	31.000	0.000
i078_2_an_NA_operation	i078_2_an_NA_operation	(#\d{1,3}) 2 10782	eeg_3	eeg_3_b	78	30780	10782	9	an	NA	operation	The Hell's Angel rolled up the sleeve of his leather jacket. He showed the girls where he had gotten an operation the previous night.	i078_2_an	norm_4	The Hell's Angel rolled up the sleeve of his leather jacket. He showed the girls where he had gotten an	0.000	0.000	0.000	0.000	0.000	0.032	0.032	0.032	0.032	0.188	0.045	[tattoo]	0.361	[angel]	[vowel]	0.161	0.000	31.000	61.000	0.188	0.045	[tattoo]	0.361	[angel]	[vowel]	0.161	0.000	31.000	61.000	1.000	31.000	0.000
i079_2_an_NA_ultimatum	i079_2_an_NA_ultimatum	(#\d{1,3}) 2 10792	eeg_3	eeg_3_a	79	30790	10792	11	an	NA	ultimatum	As a last resort, Monica told Nick that if he didn't change his behavior she would leave him. She felt she had no other choice than to issue an ultimatum to him.	i079_2_an	norm_4	As a last resort, Monica told Nick that if he didn't change his behavior she would leave him. She felt she had no other choice than to issue an	0.710	0.000	0.742	0.000	0.742	0.677	0.677	0.677	0.677	0.312	0.428	[ultimatum]	0.538	[ultimatum]	[vowel]	0.677	1.000	31.000	39.000	0.312	0.428	[ultimatum]	0.538	[ultimatum]	[vowel]	0.677	1.000	31.000	39.000	1.000	8.000	23.000
i079_2_a__NA_threat	i079_2_a__NA_threat	(#\d{1,3}) 2 10791	eeg_3	eeg_3_b	79	30790	10791	11	a	NA	threat	As a last resort, Monica told Nick that if he didn't change his behavior she would leave him. She felt she had no other choice than to issue a threat to him.	i079_2_a_	norm_4	As a last resort, Monica told Nick that if he didn't change his behavior she would leave him. She felt she had no other choice than to issue a	0.258	0.000	0.065	0.000	0.065	0.194	0.194	0.194	0.194	0.129	0.079	[ultimatum]	0.244	[threat]	[consonant]	0.194	0.000	31.000	45.000	0.129	0.079	[ultimatum]	0.244	[threat]	[consonant]	0.194	0.000	31.000	45.000	1.000	8.000	23.000
i080_2_a__NA_brace	i080_2_a__NA_brace	(#\d{1,3}) 2 10801	eeg_3	eeg_3_a	80	30800	10801	10	a	NA	brace	Alice broke her leg on the hiking trip. The doctor ran X-rays and put her leg in a brace right away.	i080_2_a_	norm_4	Alice broke her leg on the hiking trip. The doctor ran X-rays and put her leg in a	0.968	0.000	0.000	0.000	0.000	0.031	0.031	0.031	0.031	0.799	0.799	[cast]	0.969	[cast]	[consonant]	0.969	0.000	32.000	32.000	0.799	0.799	[cast]	0.969	[cast]	[consonant]	0.969	0.000	32.000	32.000	1.000	31.000	0.000
i080_2_an_NA_immobilizer	i080_2_an_NA_immobilizer	(#\d{1,3}) 2 10802	eeg_3	eeg_3_b	80	30800	10802	10	an	NA	immobilizer	Alice broke her leg on the hiking trip. The doctor ran X-rays and put her leg in an immobilizer right away.	i080_2_an	norm_4	Alice broke her leg on the hiking trip. The doctor ran X-rays and put her leg in an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.177	0.068	[cast]	0.388	[orange]	[vowel]	0.167	1.000	30.000	67.000	0.175	0.068	[cast]	0.388	[orange]	[vowel]	0.167	1.000	30.000	67.000	1.000	31.000	0.000
i081_2_a__NA_guardian	i081_2_a__NA_guardian	(#\d{1,3}) 2 10811	eeg_3	eeg_3_a	81	30810	10811	8	a	NA	guardian	There are age restrictions for R-rated movies. Children under 17 must be accompanied by a guardian or a parent.	i081_2_a_	norm_4	There are age restrictions for R-rated movies. Children under 17 must be accompanied by a	0.097	0.000	0.000	0.000	0.000	0.226	0.323	0.226	0.323	0.104	0.104	[parent]	0.160	[parent]	[consonant]	0.387	1.000	31.000	75.000	0.104	0.104	[parent]	0.160	[parent]	[consonant]	0.387	1.000	31.000	75.000	1.000	3.000	28.000
i081_2_an_NA_adult	i081_2_an_NA_adult	(#\d{1,3}) 2 10812	eeg_3	eeg_3_b	81	30810	10812	8	an	NA	adult	There are age restrictions for R-rated movies. Children under 17 must be accompanied by an adult or a parent.	i081_2_an	norm_4	There are age restrictions for R-rated movies. Children under 17 must be accompanied by an	0.871	0.000	0.903	0.000	0.903	0.903	0.935	0.903	0.935	0.488	0.694	[adult]	0.744	[adult]	[vowel]	0.903	0.000	31.000	39.000	0.488	0.694	[adult]	0.744	[adult]	[vowel]	0.903	0.000	31.000	39.000	1.000	3.000	28.000
i082_2_an_NA_overseer	i082_2_an_NA_overseer	(#\d{1,3}) 2 10822	eeg_3	eeg_3_a	82	30820	10822	11	an	NA	overseer	It's always a tragedy when a child loses his mother or father. Children have a hard time dealing with the loss of an overseer when they're young.	i082_2_an	norm_4	It's always a tragedy when a child loses his mother or father. Children have a hard time dealing with the loss of an	0.000	0.000	0.000	0.000	0.000	0.031	0.031	0.031	0.031	0.068	0.125	[adult]	0.128	[adult]	[vowel]	0.281	0.000	32.000	78.000	0.067	0.123	[adult]	0.128	[adult]	[vowel]	0.281	0.000	32.000	78.000	1.000	31.000	0.000
i082_2_a__NA_parent	i082_2_a__NA_parent	(#\d{1,3}) 2 10821	eeg_3	eeg_3_b	82	30820	10821	11	a	NA	parent	It's always a tragedy when a child loses his mother or father. Children have a hard time dealing with the loss of a parent when they're young.	i082_2_a_	norm_4	It's always a tragedy when a child loses his mother or father. Children have a hard time dealing with the loss of a	0.774	0.000	0.645	0.097	0.774	0.839	0.839	0.839	0.839	0.414	0.571	[parent]	0.650	[parent]	[consonant]	0.839	0.000	31.000	40.000	0.414	0.571	[parent]	0.650	[parent]	[consonant]	0.839	0.000	31.000	40.000	1.000	31.000	0.000
i083_2_a__NA_rash	i083_2_a__NA_rash	(#\d{1,3}) 2 10831	eeg_3	eeg_3_a	83	30830	10831	8	a	NA	rash	When little children get bug bites sometimes parents put socks over their hands. Kids want to scratch when they have a rash on their arm.	i083_2_a_	norm_4	When little children get bug bites sometimes parents put socks over their hands. Kids want to scratch when they have a	0.032	0.000	0.000	0.000	0.000	0.032	0.032	0.032	0.032	0.129	0.104	[itch]	0.254	[bite]	[consonant]	0.226	1.000	31.000	59.000	0.131	0.104	[itch]	0.237	[bite]	[consonant]	0.226	1.000	31.000	59.000	1.000	9.000	22.000
i083_2_an_NA_itch	i083_2_an_NA_itch	(#\d{1,3}) 2 10832	eeg_3	eeg_3_b	83	30830	10832	8	an	NA	itch	When little children get bug bites sometimes parents put socks over their hands. Kids want to scratch when they have an itch on their arm.	i083_2_an	norm_4	When little children get bug bites sometimes parents put socks over their hands. Kids want to scratch when they have an	0.613	0.000	0.613	0.065	0.677	0.900	0.900	0.900	0.900	0.618	0.686	[itch]	0.844	[itch]	[vowel]	0.900	1.000	30.000	32.000	0.618	0.686	[itch]	0.844	[itch]	[vowel]	0.900	1.000	30.000	32.000	1.000	9.000	22.000
i084_2_an_NA_adolescent	i084_2_an_NA_adolescent	(#\d{1,3}) 2 10842	eeg_3	eeg_3_a	84	30840	10842	13	an	NA	adolescent	The Smiths asked the neighbor girl to look after their son Bobby while they went out for dinner. Bobby was mad because he thought he was too old to have an adolescent at the house.	i084_2_an	norm_4	The Smiths asked the neighbor girl to look after their son Bobby while they went out for dinner. Bobby was mad because he thought he was too old to have an	0.000	0.000	0.000	0.000	0.000	0.065	0.065	0.065	0.065	0.099	0.081	[babysitter]	0.212	[old]	[vowel]	0.226	1.000	31.000	66.000	0.093	0.065	[babysitter]	0.212	[older]	[vowel]	0.194	1.000	31.000	66.000	1.000	31.000	0.000
i084_2_a__NA_curfew	i084_2_a__NA_curfew	(#\d{1,3}) 2 10841	eeg_3	eeg_3_b	84	30840	10841	13	a	NA	curfew	The Smiths asked the neighbor girl to look after their son Bobby while they went out for dinner. Bobby was mad because he thought he was too old to have a curfew at the house.	i084_2_a_	norm_4	The Smiths asked the neighbor girl to look after their son Bobby while they went out for dinner. Bobby was mad because he thought he was too old to have a	0.968	0.000	0.000	0.000	0.000	0.032	0.032	0.032	0.032	0.794	0.794	[babysitter]	0.968	[babysitter]	[consonant]	0.968	0.000	31.000	31.000	0.794	0.794	[babysitter]	0.968	[babysitter]	[consonant]	0.968	0.000	31.000	31.000	1.000	31.000	0.000
i085_2_an_NA_address	i085_2_an_NA_address	(#\d{1,3}) 2 10852	eeg_3	eeg_3_a	85	30850	10852	6	an	NA	address	Jeffrey must have been preoccupied when he went to the post office. He mailed the letter without an address affixed to it.	i085_2_an	norm_4	Jeffrey must have been preoccupied when he went to the post office. He mailed the letter without an	0.097	0.000	0.097	0.032	0.129	0.452	0.484	0.452	0.484	0.219	0.318	[address]	0.349	[address]	[vowel]	0.452	1.000	31.000	43.000	0.219	0.318	[address]	0.349	[address]	[vowel]	0.452	1.000	31.000	43.000	1.000	27.000	4.000
i086_2_a__NA_receipt	i086_2_a__NA_receipt	(#\d{1,3}) 2 10861	eeg_3	eeg_3_a	86	30860	10861	12	a	NA	receipt	Wendy went to pay for the birthday card. The clerk pointed out that she had forgotten to pick up a receipt for it.	i086_2_a_	norm_4	Wendy went to pay for the birthday card. The clerk pointed out that she had forgotten to pick up a	0.000	0.000	0.032	0.000	0.032	0.032	0.032	0.032	0.032	0.246	0.192	[envelope]	0.358	[match]	[consonant]	0.387	1.000	31.000	53.000	0.246	0.192	[envelope]	0.358	[matching]	[consonant]	0.387	1.000	31.000	53.000	1.000	4.000	27.000
